Nodes,Degree,Exact Algorithm Leaves,Exact Algorithm Time,Approx Algorithm Leaves,Approx Algorithm Time,BFS Leaves,BFS Time,Priority BFS Leaves,Priority BFS Time,Max Priority BFS Leaves,Max Priority BFS Time,Simulated Annealing Leaves,Simulated Annealing Time,Edges
10,3,5.9,0.0350571155548096,5.5,0.0152086973190308,4.9,0.0150544404983521,5.5,0.0171988487243652,5.9,0.0245824575424194,5.9,0.0760018825531006,15
10,4,6.9,0.0531642436981201,6.3,0.0219046592712402,5.6,0.0212593555450439,6.4,0.0222678661346436,6.9,0.0246184825897217,6,0.059261679649353,20
10,5,7.4,0.0306470155715942,7,0.0152724266052246,6.6,0.015233325958252,7.1,0.0150170564651489,7.4,0.0150851011276245,6.1,0.0529873609542847,25
20,3,11,2.66998982429504,9.9,0.0178047180175781,7.1,0.020496392250061,9.9,0.0176434278488159,10.7,0.0165845632553101,10.1,0.0833698511123657,30
20,4,13.5,5.21303088665009,11.9,0.0159526109695435,10.2,0.0154777765274048,12,0.0167273759841919,13.3,0.0173413038253784,10.7,0.09429612159729,40
20,5,14.8,4.68359689712524,13.2,0.0162204265594482,11.2,0.0158479928970337,13.3,0.0165551900863647,14,0.0159082412719727,11.1,0.082723069190979,50
30,3,15.9,224.060729956627,14.3,0.0150972127914429,11.5,0.0159566402435303,13.8,0.015844202041626,15.2,0.016999077796936,14.8,0.0847961664199829,45
30,4,20,492.585169649124,17.6,0.00695345401763916,15,0.00669589042663574,17.7,0.00680429935455322,19.4,0.00709989070892334,15.7,0.0520003318786621,60
30,5,22,906.408339762688,19.4,0.00744409561157227,16.7,0.00720717906951904,19.6,0.00695135593414307,21.2,0.00747776031494141,15.9,0.0502647876739502,75
