Rows,Cols,Missing Edges,Exact Algorithm Leaves,Exact Algorithm Time,Approx Algorithm Leaves,Approx Algorithm Time,BFS Leaves,BFS Time,Priority BFS Leaves,Priority BFS Time,Max Priority BFS Leaves,Max Priority BFS Time,Simulated Annealing Leaves,Simulated Annealing Time,Nodes,Edges
6,8,9,0,0,24,0.00639989376068115,9.3,0.0062002420425415,24.6,0.00619995594024658,26,0.0072993278503418,22.7,0.0925963640213013,48,73
6,8,19,0,0,21.5,0.006600022315979,13.6,0.00599989891052246,21.6,0.00620043277740479,22.8,0.00710005760192871,21.5,0.094998836517334,48,63
6,8,28,0,0,18.9,0.00671317577362061,14.9,0.00634636878967285,17.7,0.00639970302581787,19,0.00739989280700684,18.6,0.10464780330658,48,54
6,9,10,0,0,27,0.00674746036529541,10,0.00639922618865967,27.3,0.00638573169708252,29,0.00786097049713135,25.5,0.102109575271606,54,83
6,9,21,0,0,23.9,0.00662953853607178,14.3,0.00654838085174561,22.6,0.00641276836395264,25.1,0.00783209800720215,23.4,0.107616519927979,54,72
6,9,32,0,0,20.4,0.00609354972839356,16.1,0.00610039234161377,20,0.00649964809417725,20.7,0.00735132694244385,19.7,0.118842744827271,54,61
7,7,9,0,0,24.5,0.00670051574707031,10.9,0.00641281604766846,25.4,0.00645496845245361,26.7,0.00726115703582764,24,0.0925580978393555,49,75
7,7,19,0,0,22.5,0.00685644149780273,13.9,0.00642731189727783,21.7,0.00650026798248291,23.3,0.00749988555908203,21.7,0.137463688850403,49,65
7,7,29,0,0,18.7,0.0167794704437256,15.3,0.0160310506820679,18.3,0.0158415079116821,18.7,0.0186278581619263,18.2,0.212001991271973,49,55
7,8,11,0,0,28.4,0.0166583776473999,12.2,0.0207612037658691,28.3,0.025105094909668,30.4,0.0271185636520386,26.1,0.175417542457581,56,86
7,8,22,0,0,26.1,0.0161765098571777,15.1,0.0152968406677246,25.5,0.0161124706268311,27,0.0186271905899048,24.6,0.170807099342346,56,75
7,8,33,0,0,21.4,0.013636302947998,16.5,0.0157628536224365,21.2,0.0156436204910278,21.8,0.0186685562133789,20.9,0.21043438911438,56,64
7,9,12,0,0,32.5,0.0149227142333984,12.3,0.0135414123535156,32.6,0.0164032459259033,34.5,0.0203086137771606,29.9,0.183055639266968,63,98
7,9,25,0,0,29.8,0.0163007020950317,17.4,0.0154960155487061,29.6,0.0157869815826416,31,0.0198183298110962,27.6,0.226821517944336,63,85
7,9,37,0,0,24.9,0.0163982391357422,18.7,0.0157432079315186,24.2,0.016054892539978,25,0.021738076210022,24.4,0.230808067321777,63,73
8,8,12,0,0,32.5,0.016430401802063,12.7,0.015832781791687,33.4,0.0157988786697388,35.5,0.0202345371246338,30,0.269375681877136,64,100
8,8,25,0,0,30.5,0.0157436370849609,18.7,0.0156032085418701,29.6,0.0153948783874512,31.4,0.0204052686691284,27.9,0.277302670478821,64,87
8,8,38,0,0,24.3,0.015698766708374,19.8,0.016224217414856,24.1,0.0162781238555908,24.7,0.0194100618362427,23.9,0.329226088523865,64,74
8,9,14,0,0,37.7,0.0167618274688721,14,0.0159654855728149,37.2,0.0162914276123047,39.7,0.0218157052993774,33.5,0.314915680885315,72,113
8,9,28,0,0,33.3,0.0160443067550659,19.1,0.0157100677490234,32.9,0.0158434629440308,34.6,0.0218698978424072,31.8,0.329224562644959,72,99
8,9,43,0,0,28.7,0.0165964365005493,22.1,0.0157896280288696,27.9,0.016235876083374,29.2,0.0212028980255127,27.4,0.36177670955658,72,84
9,9,16,0,0,41.1,0.0163549900054932,15,0.0163012266159058,41,0.0164551734924316,43.7,0.0230053663253784,37.7,0.405822825431824,81,128
9,9,32,0,0,38.2,0.0165389776229858,21.6,0.0160580158233643,36.8,0.0162725210189819,39.4,0.0229119300842285,35.3,0.418150281906128,81,112
9,9,48,0,0,33.3,0.0163885354995728,24.7,0.0164686918258667,31.3,0.015826416015625,33.6,0.0219925880432129,31.6,0.450129365921021,81,96
